text,label
"This movie was fantastic! I loved it.",1
"I hated this film. It was so boring.",0
"The product quality is amazing! Highly recommended.",1
"Worst experience ever! Never buying again.",0
"The storyline was gripping, and the characters were well-developed.",1
"The acting was terrible, and the plot made no sense.",0
"This phone has excellent battery life and a great camera.",1
"The laptop keeps crashing. Worst purchase I've ever made.",0
"Absolutely loved the book! Couldn't put it down.",1
"The hotel was dirty and the service was awful.",0
"The game is so much fun! I play it every day.",1
"The delivery was late, and the item was damaged.",0
"The restaurant had great food and friendly staff.",1
"The Wi-Fi connection is horrible, disconnects every few minutes.",0
"This is the best smartwatch I've ever used.",1
"The earphones stopped working after a week.",0
"The new update made the app so much better and faster.",1
"The customer support was rude and unhelpful.",0
"The concert was amazing! Best night of my life.",1
"The flight was delayed by 6 hours. Terrible experience.",0
